Dificulty,Question Type,Question Name,Question Text,Question Answers,Correct_Awnser,Points_Given,Points_Taken  
Facil,multichoice,Pergunta 1,"Qual é o resultado de 15 % 4 em Python?","1;3;4;0",3,100,0 
Facil,multichoice,Pergunta 2,"Qual é o operador de exponenciação em Python?","+;*;**;^","**",100,0 
Facil,truefalse,Pergunta 3,"A operação 10 // 3 retorna 3 em Python?","true;false",true,100,-25 
Facil,multichoice,Pergunta 4,"Qual é o resultado de 2 + 3 * 4?","14;20;10;12",14,100,0 
Facil,truefalse,Pergunta 5,"O operador 'and' retorna True se ambos os operandos forem True?","true;false",true,100,-25 
Facil,multichoice,Pergunta 6,"Qual é o resultado de 8 / 2?","4;4.0;Both 4 and 4.0;Error",4.0,100,0 
Facil,truefalse,Pergunta 7,"not False é equivalente a True?","true;false",true,100,-25 
Facil,multichoice,Pergunta 8,"Qual operador lógico representa 'OU' em Python?","&&;and;or;||",or,100,0 
Facil,multichoice,Pergunta 9,"Qual é o resultado de 7 - 3 * 2?","-1;1;-5;5",-1,100,0 
Facil,truefalse,Pergunta 10,"5 == 5.0 retorna True em Python?","true;false",true,100,-25  
Intermédio,multichoice,Pergunta 11,"Qual é o resultado de 10 > 5 and 3 < 2 or 2 == 2?","True;False;None;Error",True,100,0 
Intermédio,multichoice,Pergunta 12,"O que retorna (5 & 3)?","1;3;5;7",1,100,0 
Intermédio,multichoice,Pergunta 13,"Qual é o resultado de 12 >> 2?","3;6;12;24",3,100,0 
Intermédio,truefalse,Pergunta 14,"O operador ^ em Python realiza XOR bit a bit?","true;false",true,100,-25 
Intermédio,multichoice,Pergunta 15,"Qual será o resultado de ~5?","-6;6;-5;5",-6,100,0 
Intermédio,multichoice,Pergunta 16,"O que retorna (10 | 5)?","15;5;10;7",15,100,0 
Intermédio,truefalse,Pergunta 17,"8 << 1 é equivalente a multiplicar 8 por 2?","true;false",true,100,-25 
Intermédio,multichoice,Pergunta 18,"Qual é o resultado de 7 // 3?","2;2.3;3;1",2,100,0 
Intermédio,multichoice,Pergunta 19,"O que retorna (3 << 2)?","12;9;6;3",12,100,0 
Intermédio,truefalse,Pergunta 20,"A operação (4 & 2) sempre retorna 0?","true;false",true,100,-25  
Difícil,multichoice,Pergunta 21,"O que retorna (10 & 5) | (8 ^ 3)?","11;15;7;10",11,100,0 
Difícil,truefalse,Pergunta 22,"~(5 & 3) resulta em -2?","true;false",true,100,-25 
Difícil,multichoice,Pergunta 23,"Qual será o resultado de (7 >> 1) + (3 << 2)?","15;10;12;16",15,100,0 
Difícil,multichoice,Pergunta 24,"O que retorna bool(5 & 0)?","False;True;None;Erro",False,100,0 
Difícil,truefalse,Pergunta 25,"(10 | 4) ^ 6 resulta em 8?","true;false",true,100,-25 
Difícil,multichoice,Pergunta 26,"Qual o resultado de (3 ^ 3) | (1 & 0)?","0;1;2;3",0,100,0 
Difícil,truefalse,Pergunta 27,"A operação (5 ^ 2) & (8 | 1) resulta em 0?","true;false",false,100,-25 
Difícil,multichoice,Pergunta 28,"O que retorna (~4) + (2 << 3)?","11;-5;8;10",11,100,0 
Difícil,multichoice,Pergunta 29,"Qual será o resultado de not (7 & 2 == 2) or (4 >> 2)?","True;False;None;Erro",True,100,0 
Difícil,truefalse,Pergunta 30,"not ((6 & 1) or (4 >> 2)) retorna False?","true;false",true,100,-25
